word,def,ex
Considerable,Đáng kể,He made a considerable amount of money.
Consistent,Nhất quán,His results are consistent with our findings.
Consolidate,Củng cố/Hợp nhất,They are trying to consolidate their power.
Conspicuous,Dễ thấy/Đập vào mắt,The notice was placed in a conspicuous position.
Constitutional,Thuộc về hiến pháp,The change was not constitutional.
Contradict,Mâu thuẫn với,His statement contradicts the evidence.
Contribute to,Góp phần vào,Smoking contributes to many health problems.
Controversial,Gây tranh cãi,The new law is very controversial.
Conventional,Thông thường/Truyền thống,He has conventional views on education.
Convey,Truyền tải,Colors can convey different meanings.
Crucial,Quan trọng/Cốt yếu,Good communication is crucial in a relationship.
Deceptive,Dễ gây nhầm lẫn,Appearances can be deceptive.
Decisive,Quyết đoán/Mang tính quyết định,You need to be more decisive.
Dedicate,Cống hiến,He dedicated his life to science.
Deficiency,Sự thiếu hụt,The disease is caused by a vitamin deficiency.
Deliberate,Cố tình/Thận trọng,It was a deliberate attempt to deceive us.
Demonstrate,Chứng minh/Biểu diễn,He demonstrated how the machine works.
Depict,Mô tả/Phác họa,The painting depicts a country scene.
Deprive of,Tước đoạt,Sleep deprivation can affect your health.
Derive from,Bắt nguồn từ,The word derives from Latin.
Deteriorate,Xấu đi/Suy giảm,The weather deteriorated rapidly.
Deviate,Chệch khỏi,The bus had to deviate from its usual route.
Diminish,Giảm bớt,The pain will diminish over time.
Discriminate,Phân biệt đối xử,It is illegal to discriminate against people.
Displace,Thay thế/Dời chỗ,Coal is being displaced by natural gas.
Distinct,Riêng biệt/Khác biệt,There is a distinct smell of gas.
Distort,Xuyên tạc/Bóp méo,The newspaper distorted the facts.
Distribute,Phân phối,The organization distributes food to the poor.
Diverse,Đa dạng,The city has a very diverse population.
Dominant,Ưu thế/Thống trị,English is a dominant language in business.
Drastic,Quyết liệt/Mạnh mẽ,We need to take drastic measures.
Durable,Bền bỉ,This brand of shoes is very durable.
Dynamic,Năng động,She is a dynamic young businesswoman.
Elaborate,Tỉ mỉ/Trau chuốt,He told an elaborate lie.
Eligible,Đủ điều kiện,He is eligible for early retirement.
Eliminate,Loại bỏ,We must eliminate the risk of fire.
Emphasize,Nhấn mạnh,The teacher emphasized the importance of exercise.
Encounter,Gặp phải,We encountered a number of problems.
Endure,Chịu đựng/Tồn tại,The fame of the artist will endure forever.
Enhance,Nâng cao,Good lighting will enhance any room.
Enormous,Khổng lồ,The cost of the project is enormous.
Ensure,Đảm bảo,Please ensure that all lights are switched off.
Equivalent,Tương đương,Eight kilometers is roughly equivalent to five miles.
Essential,Thiết yếu,Experience is essential for this job.
Establish,Thiết lập,They established a new business in 2020.
Estimate,Ước tính,We estimate that the journey will take two hours.
Evaluate,Đánh giá,It is difficult to evaluate the success of the project.
Evident,Rõ ràng,It was evident that she was unhappy.
Evolve,Tiến hóa/Phát triển,The company has evolved over the years.
Exaggerate,Phóng đại,Don't exaggerate the importance of the news.
Exceed,Vượt quá,Drivers must not exceed the speed limit.
Exclude,Loại trừ,The cost of the tour excludes lunch.
Feasible,Khả thi,It's just not feasible to build a bridge here.
